Universe Max Age;Universe Min Age;Universe Name;Description;Title;cloudinary key
9;8;La forêt enchantée;La petite sirène est fascinée par ce monde inconnu qui l’attire : celui des humains. Une aventure qui la conduira à bien des sacrifices…Un conte d’Andersen de 1837.;La Toute Petite Sirène;production/stories/la-toute-petite-sirene/cover
9;8;La forêt enchantée;Lila et Yanis partent en expédition découvrir Louxia, une planète étrange que nul n’avait encore visitée. Ils en rapporteront un magnifique trésor, ce qui ne sera pas sans conséquences… ;Louxia;production/stories/louxia/cover
11;10;L'île mystérieuse;C’est la rentrée à l’école des héros. Circé, élève de première année, a peur que l’on découvre que contrairement à tous ses camarades, elle n’a pas de super pouvoir… Pourquoi a-t-elle néanmoins été acceptée dans cette école ? Et si elle avait tout de même un don dont elle ignorait la puissance ?;L'École des héros;production/stories/l-ecole-des-heros/cover
13;12;Le désert des mirages;Une jeune fille agressée est retrouvée en sang dans la « Chambre Jaune », une pièce totalement fermée de l’intérieur. Voici la première partie d’une enquête qui s’annonce pleine de mystères à élucider ! Un classique de Gaston Leroux, paru en 1907.;Le Mystère de la chambre jaune I;production/stories/le-mystere-de-la-chambre-jaune/cover
13;12;Le désert des mirages;Voici la seconde partie de cette enquête pleine de mystères ! Que s’est-il véritablement passé dans la « Chambre Jaune » ? Mlle Stangerson a-t-elle tout dit ?... Rouletabille et Sainclair ne sont pas au bout de leurs surprises !;Le Mystère de la chambre jaune II;production/stories/le-mystere-de-la-chambre-jaune-partie-2/as_cover/6nnf19nhae7nshh4a0z75p9a42zk
13;12;Le désert des mirages;Plongez dans un roman de cape et d’épées, grand classique de la littérature française écrit par Alexandre Dumas en 1844, et vivez les aventures trépidantes de d’Artagnan !;Les Trois Mousquetaires I;production/stories/les-trois-mousquetaires-i/cover
13;12;Le désert des mirages;Découvre les aventures de Renart, ce personnage emblématique de la littérature médiévale. Parfois drôle, souvent féroce, Renart est connu pour ses ruses et sa fourberie ! Et ce n’est pas Ysengrin son oncle qui dirait le contraire…;Le Roman de Renart I;production/stories/le-roman-de-renart-i/cover
13;12;Le désert des mirages;Pars à l‘aventure avec d’Artagnan et les trois mousquetaires, et découvre la suite palpitante du roman, pleine d‘intrigues, mais aussi de trahisons !;Les Trois Mousquetaires II;production/stories/les-trois-mousquetaires-ii/cover
13;12;Le désert des mirages;L’heure des comptes a sonné : Renart fait face à ses nombreuses victimes, dont son oncle Ysengrin. Découvre la seconde partie des aventures de ce fourbe goupil ! Ses victimes pourront-elles lui pardonner ? Parviendra-t-il à changer ?;Le Roman de Renart II;production/stories/le-roman-de-renart-ii/cover
10;9;La chaumière perdue;Découvre les aventures de Renart, ce personnage emblématique de la littérature médiévale. Parfois drôle, souvent féroce, Renart est connu pour ses ruses et sa fourberie ! Et ce n’est pas Ysengrin son oncle qui dirait le contraire…;Le Tout Petit Roman de Renart;production/stories//as_cover/hhcreni6la6mdbdp8cnlw9m509lz
12;11;Le palais merveilleux;Renart est le personnage principal du roman qui porte son nom. Il est rusé et fourbe, voleur et menteur. Découvre la première de toutes ses aventures !;Les Bacons d’Ysengrin;production/stories/les-bacons-d-ysengrin/as_cover/gldka09cn8iipjhb9vkni618bkft
10;9;La chaumière perdue;Après un terrible cyclone, Dorothée se retrouve au pays d’Oz, à la recherche du Grand Magicien qui l’aidera à retourner chez elle. Suis-la sur le chemin de briques jaunes et partage ses nombreuses aventures !;Le Magicien d’Oz;production/stories/le-magicien-d-oz/as_cover/znl88a2o9wyxjqizh07wrbaa1jvp
12;11;Le palais merveilleux;Le cardinal Richelieu cherche à compromettre la reine auprès du roi. La reine a encore quelques alliés, mais cela suffira-t-il à contrecarrer les plans du cardinal ?Plongez aux côtés de d’Artagnan, dans cette intrigue de cour, écrite par Alexandre Dumas en 1844.;Les Ferrets de la Reine;production/stories/les-ferrets-de-la-reine/as_cover/tzxdo4vu40rwok7b9eiwyib1y6sc
10;9;La chaumière perdue;Le rêve de d’Artagnan est de devenir mousquetaire. Mais le chemin est long et semé d’embuches. Découvre les aventures palpitantes de ce célèbre personnage d’Alexandre Dumas dans une histoire de capes et d’épées !;D’Artagnan;production/stories//as_cover/tkn9yablns23kol79pniwpil5ktx
